Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsackmf.cpp;13;2.2195143699645996;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.784532070159912;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.1616129875183105;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.1656672954559326;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.7584648132324219;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.3805747032165527;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6054353713989258;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.109570264816284;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.734182357788086;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.031379461288452;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7317895889282227;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.9489917755126953;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.7964284420013428;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.3001041412353516;1-3;Random bit-flip
V;knapsackmf.cpp;16;3.139068365097046;1-3;Random bit-flip
values;knapsackmf.cpp;14;2.902009963989258;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.76934814453125;1-3;Random bit-flip
values;knapsackmf.cpp;14;1.848215103149414;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0457255840301514;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.3344745635986328;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.76550555229187;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.620190382003784;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0317625999450684;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.380249500274658;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.01176381111145;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.1759932041168213;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.2740721702575684;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0643136501312256;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.078606367111206;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.42421555519104;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.091331958770752;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9855084419250488;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.2834458351135254;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.828141212463379;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1151764392852783;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.497945785522461;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.048372745513916;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.205404043197632;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.1773083209991455;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.4534785747528076;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.4355428218841553;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0644986629486084;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5306882858276367;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6519122123718262;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.9883387088775635;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1394920349121094;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.1801562309265137;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.432906150817871;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.4777114391326904;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.3948462009429932;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6464433670043945;1-3;Random bit-flip
weights;knapsackmf.cpp;15;3.1529407501220703;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.200653076171875;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7986202239990234;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.55607533454895;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.1693873405456543;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9250118732452393;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.2455148696899414;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.1419355869293213;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.7013680934906006;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1968109607696533;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9010939598083496;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.263883113861084;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.3547701835632324;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0942163467407227;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.154238700866699;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.7477455139160156;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.5035297870635986;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.2611277103424072;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.390589714050293;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.567206621170044;1-3;Random bit-flip
V;knapsackmf.cpp;16;1.9542279243469238;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.080692768096924;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.5378620624542236;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.214153528213501;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.033228635787964;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.17315411567688;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.509512186050415;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.9834821224212646;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9337542057037354;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.3069400787353516;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.4548323154449463;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.0286476612091064;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.840175151824951;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.4907701015472412;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0277628898620605;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.7767016887664795;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.01729679107666;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.680840253829956;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0642714500427246;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.5059070587158203;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.4699757099151611;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.3542122840881348;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.565758228302002;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.420530080795288;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8639068603515625;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.5367071628570557;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7824034690856934;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.953217029571533;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1052966117858887;1-3;Random bit-flip
values;knapsackmf.cpp;14;1.8727169036865234;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.8808393478393555;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.4044504165649414;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.785963535308838;1-3;Random bit-flip
values;knapsackmf.cpp;14;2.46024489402771;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.4783284664154053;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.098065137863159;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.8291044235229492;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.5470092296600342;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5727603435516357;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5914065837860107;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.6259090900421143;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.9958605766296387;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.4208667278289795;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9306714534759521;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.029278039932251;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.219303607940674;1-3;Random bit-flip
weights;knapsackmf.cpp;15;2.1302056312561035;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0968289375305176;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8183600902557373;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.457758665084839;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.3697655200958252;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.830867052078247;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.6861991882324219;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.1130025386810303;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.5882172584533691;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5855374336242676;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.3949053287506104;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.109902858734131;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.4120359420776367;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.1999473571777344;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5372047424316406;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.5251052379608154;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.1909303665161133;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.4375240802764893;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1033823490142822;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.5834429264068604;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.017615556716919;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8557066917419434;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.289297580718994;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.0389764308929443;1-3;Random bit-flip
value;knapsackmf.cpp;45;1.5928623676300049;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.2326300144195557;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.839155912399292;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0533721446990967;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.204826593399048;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.4278318881988525;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6674280166625977;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.3697173595428467;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.432457685470581;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.2770352363586426;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.209850788116455;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.1265990734100342;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0623950958251953;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.3870275020599365;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7555277347564697;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6670544147491455;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.0097615718841553;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.2040421962738037;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.5984573364257812;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.9188859462738037;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.5384223461151123;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.5335848331451416;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.672400951385498;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.097153425216675;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.5107262134552;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.307145833969116;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.2097268104553223;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.913161277770996;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9843204021453857;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.380187749862671;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.6536099910736084;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8340229988098145;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.831824541091919;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.312234401702881;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1247661113739014;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.5912821292877197;1-3;Random bit-flip
weights;knapsackmf.cpp;15;1.9135620594024658;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.2169861793518066;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6444942951202393;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.9485905170440674;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.903517723083496;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.0376977920532227;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.8845610618591309;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.891625165939331;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.210190773010254;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.141793966293335;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8992481231689453;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.9677324295043945;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.175825595855713;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.9310922622680664;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.972784996032715;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.337965488433838;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.745596408843994;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.4304986000061035;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.529731273651123;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.860520124435425;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.293463706970215;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.2826225757598877;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.0325675010681152;1-3;Random bit-flip
weights;knapsackmf.cpp;15;1.9831607341766357;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.582606792449951;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9387247562408447;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.360022783279419;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.983222246170044;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8990027904510498;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.7712230682373047;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.573127269744873;1-3;Random bit-flip
weights;knapsackmf.cpp;15;2.724491596221924;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.088459014892578;1-3;Random bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;1.9423420429229736;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.0562922954559326;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.3654563426971436;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.4328646659851074;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.6133615970611572;1-3;Random bit-flip
value;knapsackmf.cpp;45;3.6880311965942383;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6917576789855957;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.0710461139678955;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.049159526824951;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.6489319801330566;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.3692941665649414;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.5105223655700684;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.0446410179138184;1-3;Random bit-flip
values;knapsackmf.cpp;14;2.286409616470337;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.1743252277374268;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.991515874862671;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.096798896789551;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8520026206970215;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9074420928955078;1-3;Random bit-flip
values;knapsackmf.cpp;14;2.038281202316284;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.975980043411255;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0378644466400146;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.7254862785339355;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1112589836120605;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.1081438064575195;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.49906587600708;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.046661615371704;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.58318829536438;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.7153871059417725;1-3;Random bit-flip
values;knapsackmf.cpp;14;1.5918231010437012;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.8474347591400146;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.1142239570617676;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.4194111824035645;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.6465489864349365;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8323299884796143;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8760673999786377;1-3;Random bit-flip
value;knapsackmf.cpp;45;1.7263524532318115;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.613917589187622;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.1103692054748535;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.9102418422698975;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.4749069213867188;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.7519445419311523;1-3;Random bit-flip
V;knapsackmf.cpp;16;3.6834402084350586;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.491062641143799;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.325244665145874;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.5347180366516113;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.846641778945923;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6163990497589111;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.5317060947418213;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.5722460746765137;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.478490114212036;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.8065366744995117;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.2866437435150146;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.5392673015594482;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.4139041900634766;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.7770581245422363;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.1778693199157715;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.43581223487854;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.409226655960083;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.536170482635498;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.6210746765136719;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.900312900543213;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.8949613571166992;1-3;Random bit-flip
V;knapsackmf.cpp;16;1.6033384799957275;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.2269740104675293;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.4959354400634766;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.991185188293457;1-3;Random bit-flip
weights;knapsackmf.cpp;15;2.298062324523926;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.20938777923584;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.9024550914764404;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.882582187652588;1-3;Random bit-flip
V;knapsackmf.cpp;16;3.079503297805786;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.3944413661956787;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.8230185508728027;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.5762369632720947;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.103236198425293;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.206310510635376;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.2832233905792236;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.504326105117798;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.9338204860687256;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.7758772373199463;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.40669584274292;1-3;Random bit-flip
values;knapsackmf.cpp;14;2.3558127880096436;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.7304930686950684;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.71048641204834;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.6591615676879883;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.478916883468628;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.462247371673584;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.993629217147827;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.583451747894287;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.1951682567596436;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9767098426818848;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.778590202331543;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.8449757099151611;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.593799114227295;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.467641592025757;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.1672141551971436;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0618298053741455;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.688350200653076;1-3;Random bit-flip
weights;knapsackmf.cpp;15;1.9877591133117676;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.6479709148406982;1-3;Random bit-flip
weights;knapsackmf.cpp;15;2.5263309478759766;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.353288173675537;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.920043706893921;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.4080045223236084;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.3563523292541504;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.1123692989349365;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.9829061031341553;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.0039591789245605;1-3;Random bit-flip
weights;knapsackmf.cpp;15;1.444122552871704;1-3;Random bit-flip
V;knapsackmf.cpp;16;2.5485916137695312;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.2752480506896973;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9595041275024414;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.0457000732421875;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0498294830322266;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.5868241786956787;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.9891960620880127;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.9089751243591309;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.3777496814727783;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.4165890216827393;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.963379144668579;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.0605621337890625;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.359358549118042;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.88993239402771;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.164722204208374;1-3;Random bit-flip
i;knapsackmf.cpp;44;3.1730268001556396;1-3;Random bit-flip
j;knapsackmf.cpp;44;3.454153060913086;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.2020859718322754;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.9084765911102295;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.5738961696624756;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.789125919342041;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.6781129837036133;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.952040195465088;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.1424338817596436;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.2674269676208496;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.994049310684204;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.9770822525024414;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7919013500213623;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.5963265895843506;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.891741991043091;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.540698766708374;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.1479098796844482;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.121913433074951;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.604912757873535;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6818225383758545;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.299635410308838;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.33223819732666;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6263060569763184;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.051309823989868;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.6082825660705566;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9268791675567627;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9156477451324463;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.1071863174438477;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.6566314697265625;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.8891794681549072;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.3497800827026367;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.3219857215881348;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.9735565185546875;1-3;Random bit-flip
value;knapsackmf.cpp;45;2.039020538330078;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.2663309574127197;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.8054320812225342;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.148800849914551;1-3;Random bit-flip
n;knapsackmf.cpp;13;3.157647132873535;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.2347731590270996;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.6803569793701172;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.985835075378418;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.3994874954223633;1-3;Random bit-flip
n;knapsackmf.cpp;13;1.7187023162841797;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.9004497528076172;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.280789613723755;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.6083555221557617;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.0549962520599365;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.6280248165130615;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.1670215129852295;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.105116128921509;1-3;Random bit-flip
j;knapsackmf.cpp;44;2.199462413787842;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.0594258308410645;1-3;Random bit-flip
n;knapsackmf.cpp;13;2.011353015899658;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.118093252182007;1-3;Random bit-flip
i;knapsackmf.cpp;44;2.4300458431243896;1-3;Random bit-flip
i;knapsackmf.cpp;44;1.7481136322021484;1-3;Random bit-flip
