Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsacksa.cpp;13;3.1010379791259766;0-9;Single bit-flip
n2;knapsacksa.cpp;13;4.924702167510986;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6487462520599365;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;3.808712959289551;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.300065279006958;0-9;Single bit-flip
n2;knapsacksa.cpp;13;3.4186203479766846;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.5903046131134033;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;5.034686326980591;0-9;Single bit-flip
__GI__dl_argv;rtld.c;83;1.9246585369110107;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.588838815689087;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.9655420780181885;0-9;Single bit-flip
n2;knapsacksa.cpp;13;2.1647913455963135;0-9;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;4.285409450531006;0-9;Single bit-flip
val;knapsacksa.cpp;14;4.95384669303894;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.7864317893981934;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.159977912902832;0-9;Single bit-flip
W;knapsacksa.cpp;13;1.4150784015655518;0-9;Single bit-flip
val2;knapsacksa.cpp;15;5.976434946060181;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;4.202663898468018;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.6751203536987305;0-9;Single bit-flip
valor;knapsacksa.cpp;56;2.4770290851593018;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.7704272270202637;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.0493898391723633;0-9;Single bit-flip
temp;knapsacksa.cpp;83;3.0670955181121826;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.3802692890167236;0-9;Single bit-flip
c;knapsacksa.cpp;92;1.296534776687622;0-9;Single bit-flip
n2;knapsacksa.cpp;13;3.3588593006134033;0-9;Single bit-flip
n2;knapsacksa.cpp;13;6.944730997085571;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;1.8610734939575195;0-9;Single bit-flip
W;knapsacksa.cpp;13;4.387784719467163;0-9;Single bit-flip
W2;knapsacksa.cpp;13;1.7615625858306885;0-9;Single bit-flip
peso;knapsacksa.cpp;56;8.513394594192505;0-9;Single bit-flip
wt;knapsacksa.cpp;16;9.256828784942627;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.9427895545959473;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.187139272689819;0-9;Single bit-flip
n2;knapsacksa.cpp;13;7.660990238189697;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.972010612487793;0-9;Single bit-flip
n2;knapsacksa.cpp;13;6.284190654754639;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.8252041339874268;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;1.4084067344665527;0-9;Single bit-flip
__malloc_hook;malloc.c;1866;2.5248959064483643;0-9;Single bit-flip
i;knapsacksa.cpp;57;1.7266592979431152;0-9;Single bit-flip
_rtld_global;rtld.c;231;0.7091286182403564;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;5.193175792694092;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.6447954177856445;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.598700761795044;0-9;Single bit-flip
val;knapsacksa.cpp;14;3.0250675678253174;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.8280322551727295;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.670697212219238;0-9;Single bit-flip
__x;/usr/include/c++/7/bits/stl_vector.h;326;1.88661527633667;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;5.562288284301758;0-9;Single bit-flip
val2;knapsacksa.cpp;15;1.7897617816925049;0-9;Single bit-flip
i;knapsacksa.cpp;57;1.1688752174377441;0-9;Single bit-flip
this;knapsacksa.cpp;0;5.209484338760376;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.2966084480285645;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1766610145568848;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.240591287612915;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;3.776620388031006;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.667419910430908;0-9;Single bit-flip
temp;knapsacksa.cpp;83;4.108526229858398;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;3.262549877166748;0-9;Single bit-flip
val2;knapsacksa.cpp;15;2.889829158782959;0-9;Single bit-flip
free_list;arena.c;83;2.6231064796447754;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;2.9378042221069336;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.803840160369873;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.2628955841064453;0-9;Single bit-flip
peso2;knapsacksa.cpp;56;1.4366445541381836;0-9;Single bit-flip
best2;knapsacksa.cpp;82;1.7739856243133545;0-9;Single bit-flip
temp;knapsacksa.cpp;83;2.462625503540039;0-9;Single bit-flip
W2;knapsacksa.cpp;13;4.21361231803894;0-9;Single bit-flip
val;knapsacksa.cpp;14;4.9806342124938965;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.0470027923583984;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;7.983733654022217;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;9.716160774230957;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.5123722553253174;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.5501649379730225;0-9;Single bit-flip
solution;knapsacksa.cpp;51;1.9600579738616943;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.219167470932007;0-9;Single bit-flip
W2;knapsacksa.cpp;13;5.562236785888672;0-9;Single bit-flip
W2;knapsacksa.cpp;13;3.574172258377075;0-9;Single bit-flip
peso;knapsacksa.cpp;56;3.1093976497650146;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;5.085156440734863;0-9;Single bit-flip
val;knapsacksa.cpp;14;5.351696968078613;0-9;Single bit-flip
best;knapsacksa.cpp;81;2.0320372581481934;0-9;Single bit-flip
__GI__dl_argv;rtld.c;83;1.3952300548553467;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.454313278198242;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.555609226226807;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.816363573074341;0-9;Single bit-flip
i;knapsacksa.cpp;57;3.16780948638916;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9901330471038818;0-9;Single bit-flip
delta;knapsacksa.cpp;96;2.253545045852661;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.0627076625823975;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.438432931900024;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.181060314178467;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.5695531368255615;0-9;Single bit-flip
solution;knapsacksa.cpp;51;8.469359397888184;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.7091495990753174;0-9;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;1.4438462257385254;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.026384115219116;0-9;Single bit-flip
sigs;abort.c;51;2.563744306564331;0-9;Single bit-flip
best2;knapsacksa.cpp;82;5.490354776382446;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;6.083432912826538;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.3463540077209473;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.415576219558716;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.5148868560791016;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.2398593425750732;0-9;Single bit-flip
action;../sysdeps/posix/libc_fatal.c;67;3.9006481170654297;0-9;Single bit-flip
__after_morecore_hook;malloc.c;1874;2.569153070449829;0-9;Single bit-flip
peso2;knapsacksa.cpp;56;6.438639402389526;0-9;Single bit-flip
temp;knapsacksa.cpp;83;5.080071449279785;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6635351181030273;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.430098056793213;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.4389286041259766;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;4.447002410888672;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.103137254714966;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.1044695377349854;0-9;Single bit-flip
wt;knapsacksa.cpp;16;1.3400912284851074;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.873539924621582;0-9;Single bit-flip
solution;knapsacksa.cpp;78;3.7855148315429688;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.1971826553344727;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;4.592878580093384;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;2.5878655910491943;0-9;Single bit-flip
W;knapsacksa.cpp;13;5.346938133239746;0-9;Single bit-flip
solution;knapsacksa.cpp;51;1.2770984172821045;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.264986515045166;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.795271396636963;0-9;Single bit-flip
i;knapsacksa.cpp;61;8.274256229400635;0-9;Single bit-flip
n2;knapsacksa.cpp;13;6.276896715164185;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.682689905166626;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.904793739318848;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;2.3261961936950684;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.380610466003418;0-9;Single bit-flip
W;knapsacksa.cpp;13;7.433682203292847;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.34386944770813;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;1.789475679397583;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.1963627338409424;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.8468832969665527;0-9;Single bit-flip
n;knapsacksa.cpp;13;6.189634323120117;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.8382201194763184;0-9;Single bit-flip
n;knapsacksa.cpp;13;6.184239387512207;0-9;Single bit-flip
n;knapsacksa.cpp;13;6.932454824447632;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.738696336746216;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.7177889347076416;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.6376919746398926;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;7.316162586212158;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.3383853435516357;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.948554039001465;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.4731814861297607;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.640620708465576;0-9;Single bit-flip
n2;knapsacksa.cpp;13;2.998599052429199;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3887064456939697;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3415262699127197;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;2.247706651687622;0-9;Single bit-flip
delta;knapsacksa.cpp;96;4.139333963394165;0-9;Single bit-flip
i;knapsacksa.cpp;61;1.6967341899871826;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.2323155403137207;0-9;Single bit-flip
wt;knapsacksa.cpp;16;1.143864631652832;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;6.870753049850464;0-9;Single bit-flip
action;../sysdeps/posix/libc_fatal.c;67;2.1274468898773193;0-9;Single bit-flip
best2;knapsacksa.cpp;82;4.727346181869507;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.078913450241089;0-9;Single bit-flip
delta;knapsacksa.cpp;96;6.3545684814453125;0-9;Single bit-flip
stage;abort.c;40;2.2355875968933105;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.799584627151489;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.883181095123291;0-9;Single bit-flip
this;knapsacksa.cpp;0;2.865351915359497;0-9;Single bit-flip
val;knapsacksa.cpp;14;6.915890216827393;0-9;Single bit-flip
n2;knapsacksa.cpp;13;2.1229255199432373;0-9;Single bit-flip
valor;knapsacksa.cpp;56;7.442768096923828;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.238507032394409;0-9;Single bit-flip
W2;knapsacksa.cpp;13;5.090723514556885;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.5036873817443848;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4789905548095703;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.193462371826172;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.643827199935913;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.9503865242004395;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.92194938659668;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.818065404891968;0-9;Single bit-flip
__GI__dl_argv;rtld.c;83;0.6893231868743896;0-9;Single bit-flip
i;knapsacksa.cpp;61;4.767592430114746;0-9;Single bit-flip
W2;knapsacksa.cpp;13;1.7895195484161377;0-9;Single bit-flip
i;knapsacksa.cpp;90;3.540970802307129;0-9;Single bit-flip
val;knapsacksa.cpp;14;1.9244225025177002;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;1.9116222858428955;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.053088665008545;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;4.83844256401062;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.6032867431640625;0-9;Single bit-flip
this;knapsacksa.cpp;0;2.531334638595581;0-9;Single bit-flip
W;knapsacksa.cpp;13;8.618920803070068;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.4607977867126465;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.9055070877075195;0-9;Single bit-flip
W2;knapsacksa.cpp;13;3.3169243335723877;0-9;Single bit-flip
peso;knapsacksa.cpp;56;5.144969940185547;0-9;Single bit-flip
val;knapsacksa.cpp;14;1.8366155624389648;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2888095378875732;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.442712068557739;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;3.504347562789917;0-9;Single bit-flip
wt;knapsacksa.cpp;16;4.52861475944519;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.04038667678833;0-9;Single bit-flip
W2;knapsacksa.cpp;13;5.676214218139648;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.8712286949157715;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.5393879413604736;0-9;Single bit-flip
n2;knapsacksa.cpp;13;7.238261461257935;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.0567541122436523;0-9;Single bit-flip
i;knapsacksa.cpp;57;6.9924256801605225;0-9;Single bit-flip
s;knapsacksa.cpp;89;2.398024559020996;0-9;Single bit-flip
W2;knapsacksa.cpp;13;4.092451572418213;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.95434308052063;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;2.6744375228881836;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8878166675567627;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.535193681716919;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.281721830368042;0-9;Single bit-flip
val;knapsacksa.cpp;14;7.881077766418457;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.967951774597168;0-9;Single bit-flip
W2;knapsacksa.cpp;13;3.616204023361206;0-9;Single bit-flip
solution;knapsacksa.cpp;51;0.9087395668029785;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.0993831157684326;0-9;Single bit-flip
wt;knapsacksa.cpp;16;6.287137031555176;0-9;Single bit-flip
n;knapsacksa.cpp;13;6.683627367019653;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.5217320919036865;0-9;Single bit-flip
best;knapsacksa.cpp;81;3.4621593952178955;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.3244922161102295;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;5.36387300491333;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.636145830154419;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.443846225738525;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.7032618522644043;0-9;Single bit-flip
W2;knapsacksa.cpp;13;1.9302723407745361;0-9;Single bit-flip
i;knapsacksa.cpp;61;2.303086996078491;0-9;Single bit-flip
W;knapsacksa.cpp;13;7.942666053771973;0-9;Single bit-flip
n;knapsacksa.cpp;13;6.645508527755737;0-9;Single bit-flip
W2;knapsacksa.cpp;13;3.1183924674987793;0-9;Single bit-flip
c;knapsacksa.cpp;92;6.41562819480896;0-9;Single bit-flip
stage;abort.c;40;4.443906784057617;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.006661891937256;0-9;Single bit-flip
temp2;knapsacksa.cpp;84;4.703059673309326;0-9;Single bit-flip
i;knapsacksa.cpp;57;4.968562364578247;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;4.600315093994141;0-9;Single bit-flip
wt;knapsacksa.cpp;16;7.954069137573242;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.601212501525879;0-9;Single bit-flip
delta;knapsacksa.cpp;96;3.192272186279297;0-9;Single bit-flip
val2;knapsacksa.cpp;15;6.745196580886841;0-9;Single bit-flip
W2;knapsacksa.cpp;13;3.2566335201263428;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.4288763999938965;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.6766767501831055;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.360551118850708;0-9;Single bit-flip
val;knapsacksa.cpp;14;2.6656906604766846;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.7392704486846924;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;6.0176897048950195;0-9;Single bit-flip
i;knapsacksa.cpp;57;5.922711610794067;0-9;Single bit-flip
W2;knapsacksa.cpp;13;6.179315090179443;0-9;Single bit-flip
n2;knapsacksa.cpp;13;1.7217340469360352;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.6332294940948486;0-9;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;3.514145851135254;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.523152589797974;0-9;Single bit-flip
W;knapsacksa.cpp;13;1.6797609329223633;0-9;Single bit-flip
val2;knapsacksa.cpp;15;5.00749659538269;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.0882651805877686;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;5.876587867736816;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.6723854541778564;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.4941163063049316;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6411159038543701;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;3.2779836654663086;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;2.605104923248291;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.6960299015045166;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.135432004928589;0-9;Single bit-flip
W;knapsacksa.cpp;13;5.202702760696411;0-9;Single bit-flip
wt;knapsacksa.cpp;16;2.7659780979156494;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.8250648975372314;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.705010652542114;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.7776265144348145;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.546513557434082;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;8.316726684570312;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.69616961479187;0-9;Single bit-flip
peso2;knapsacksa.cpp;56;3.445666790008545;0-9;Single bit-flip
val;knapsacksa.cpp;14;3.17638897895813;0-9;Single bit-flip
_rtld_global_ro;rtld.c;259;1.2827742099761963;0-9;Single bit-flip
W;knapsacksa.cpp;13;1.440798282623291;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9622905254364014;0-9;Single bit-flip
W;knapsacksa.cpp;13;7.0077855587005615;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.0725014209747314;0-9;Single bit-flip
val2;knapsacksa.cpp;15;2.5097408294677734;0-9;Single bit-flip
val;knapsacksa.cpp;14;3.1197428703308105;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.7904839515686035;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;2.92120099067688;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.508847951889038;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;2.6556549072265625;0-9;Single bit-flip
n2;knapsacksa.cpp;13;3.857123613357544;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.7766153812408447;0-9;Single bit-flip
val;knapsacksa.cpp;14;7.084090948104858;0-9;Single bit-flip
solution;knapsacksa.cpp;51;2.872676134109497;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;4.378252267837524;0-9;Single bit-flip
valor;knapsacksa.cpp;56;5.416518449783325;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;3.886920213699341;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.6162078380584717;0-9;Single bit-flip
val;knapsacksa.cpp;14;7.3897154331207275;0-9;Single bit-flip
i;knapsacksa.cpp;90;1.7324528694152832;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.223229169845581;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.662090539932251;0-9;Single bit-flip
val;knapsacksa.cpp;14;4.043393135070801;0-9;Single bit-flip
c;knapsacksa.cpp;92;3.790184497833252;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;3.952305316925049;0-9;Single bit-flip
solution;knapsacksa.cpp;51;1.0764191150665283;0-9;Single bit-flip
n;knapsacksa.cpp;13;7.359144687652588;0-9;Single bit-flip
temp2;knapsacksa.cpp;84;5.5528881549835205;0-9;Single bit-flip
W2;knapsacksa.cpp;13;4.705513000488281;0-9;Single bit-flip
global_max_fast;malloc.c;1630;6.676363468170166;0-9;Single bit-flip
best;knapsacksa.cpp;81;3.9241607189178467;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.227147340774536;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.9364633560180664;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.9122741222381592;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.539649486541748;0-9;Single bit-flip
_dl_skip_args;rtld.c;84;0.897899866104126;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.3431177139282227;0-9;Single bit-flip
__n;/usr/include/c++/7/bits/alloc_traits.h;461;3.1713647842407227;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.368882656097412;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;2.5447545051574707;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.22783350944519;0-9;Single bit-flip
temp;knapsacksa.cpp;83;5.568037033081055;0-9;Single bit-flip
val2;knapsacksa.cpp;15;7.339383125305176;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4589591026306152;0-9;Single bit-flip
delta;knapsacksa.cpp;96;3.519484758377075;0-9;Single bit-flip
W;knapsacksa.cpp;13;5.358309268951416;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.694941759109497;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.3543789386749268;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.49509668350219727;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.529609203338623;0-9;Single bit-flip
val2;knapsacksa.cpp;15;5.260225296020508;0-9;Single bit-flip
temp;knapsacksa.cpp;83;4.210244655609131;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.6882002353668213;0-9;Single bit-flip
val2;knapsacksa.cpp;15;8.177847146987915;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.7693452835083008;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.9342195987701416;0-9;Single bit-flip
valor;knapsacksa.cpp;56;3.549380302429199;0-9;Single bit-flip
i;knapsacksa.cpp;61;3.181795120239258;0-9;Single bit-flip
W2;knapsacksa.cpp;13;2.12528920173645;0-9;Single bit-flip
wt;knapsacksa.cpp;16;5.045874357223511;0-9;Single bit-flip
wt;knapsacksa.cpp;16;8.105694770812988;0-9;Single bit-flip
W2;knapsacksa.cpp;13;9.339452505111694;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;3.0667593479156494;0-9;Single bit-flip
W;knapsacksa.cpp;13;2.1766459941864014;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.7515156269073486;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.753881454467773;0-9;Single bit-flip
peso2;knapsacksa.cpp;56;3.194190502166748;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.6250889301300049;0-9;Single bit-flip
temp2;knapsacksa.cpp;84;7.426658630371094;0-9;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;3.3797695636749268;0-9;Single bit-flip
peso;knapsacksa.cpp;56;2.429147720336914;0-9;Single bit-flip
valor;knapsacksa.cpp;56;3.6363027095794678;0-9;Single bit-flip
free_list;arena.c;83;2.2638041973114014;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;7.370056629180908;0-9;Single bit-flip
n;knapsacksa.cpp;13;3.4369044303894043;0-9;Single bit-flip
wt;knapsacksa.cpp;16;3.063969135284424;0-9;Single bit-flip
i;knapsacksa.cpp;90;4.579487085342407;0-9;Single bit-flip
n2;knapsacksa.cpp;13;5.3294384479522705;0-9;Single bit-flip
W;knapsacksa.cpp;13;4.305893898010254;0-9;Single bit-flip
temp;knapsacksa.cpp;83;4.2367284297943115;0-9;Single bit-flip
this;knapsacksa.cpp;0;6.126953363418579;0-9;Single bit-flip
s;knapsacksa.cpp;89;3.4728341102600098;0-9;Single bit-flip
solution;knapsacksa.cpp;51;1.6291513442993164;0-9;Single bit-flip
n;knapsacksa.cpp;13;5.680017709732056;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.8061959743499756;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.935977458953857;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.182152986526489;0-9;Single bit-flip
W;knapsacksa.cpp;13;3.9386146068573;0-9;Single bit-flip
wt;knapsacksa.cpp;16;6.623756647109985;0-9;Single bit-flip
i;knapsacksa.cpp;61;3.16264271736145;0-9;Single bit-flip
solution;knapsacksa.cpp;78;2.830136775970459;0-9;Single bit-flip
val2;knapsacksa.cpp;15;2.5023112297058105;0-9;Single bit-flip
n;knapsacksa.cpp;13;4.631619930267334;0-9;Single bit-flip
n;knapsacksa.cpp;13;2.528292655944824;0-9;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9565145969390869;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.379239797592163;0-9;Single bit-flip
delta;knapsacksa.cpp;96;3.876269817352295;0-9;Single bit-flip
this;knapsacksa.cpp;0;1.5998830795288086;0-9;Single bit-flip
i;knapsacksa.cpp;90;4.919344186782837;0-9;Single bit-flip
valor2;knapsacksa.cpp;56;2.5209648609161377;0-9;Single bit-flip
n;knapsacksa.cpp;13;1.3824188709259033;0-9;Single bit-flip
val2;knapsacksa.cpp;15;1.055154800415039;0-9;Single bit-flip
__exit_funcs_done;exit.c;31;5.58187198638916;0-9;Single bit-flip
